File Name,Entropy > 7
AnyDesk.exe,1
AvastUI.exe,0
avira.exe,0
Cyberfox.exe,0
discord.exe,0
Dropbox.exe,0
AfterFX.exe,0
emu8086.exe,0
firefox.exe,0
FoxitPDFReader.exe,0
GoogleDriveFS.exe,0
googleearth.exe,0
HxD.exe,0
inkscape.exe,0
itunes.exe,0
malwarebytes.exe,1
MSACCESS.EXE,0
MSPUB.EXE,0
Musicbee.exe,0
illustrator.exe,0
OneDrive.exe,0
opera.exe,0
openoffice.exe,0
openoffice base.exe,0
openoffice calc.exe,0
openoffice draw.exe,0
openoffice impress.exe,0
openoffice math.exe,0
openoffice writer.exe,0
OUTLOOK.EXE,0
Photoshop.exe,1
putty.exe,0
ShareX.exe,0
Skype.exe,0
Spotify.exe,0
steam.exe,0
thunderbird.exe,0
uTorrent.exe,1
WinRar.exe,0
Wireshark.exe,0
vlc.exe,0
Zoom.exe,0
EXCEL.EXE,0
POWERPNT.EXE,0
WinZip.exe,0
slack.exe,0
WINWORD.EXE,0
